c1_a1,c1_a3,c1_a4,c1_a5,c1_a6,c1_a7,c1_a8,c1_a9,c1_aA,c1_aD,c1_aE,c1_aF,c2_a1,c2_a3,c2_a4,c2_a5,c2_a6,c2_a7,c2_a8,c2_a9,c2_aA,c2_aD,c2_aE,c2_aF,c3_a1,c3_a3,c3_a4,c3_a5,c3_a6,c3_a7,c3_a8,c3_a9,c3_aA,c4_a4,c4_a3,c4_aE,c4_a5,c4_a8,c4_a9,c4_aF,c5_a4,c5_a5,c5_aD,c5_aE,c6_a5,c6_a4,c6_aE,c6_aD,c7_a4,c7_a5,c7_aE,c7_aD,encoder_counter,mo1,mo2,counter,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
2.44140625,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,75.849609375,0,0,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87890625,0,0,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.853515625,32,0,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,275.57373046875,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,6393.45584777832,,,,119.619140625,32,0,,,,,0,,200
2970.19958496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.9453125,32,0,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,148.7109375,32,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,740,418500,3333,0,,200
2.44140625,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,162.7734375,32,0,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,177.71484375,32,0,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.689453125,0,16,,,,,0,,200
