ch1_1,ch2_1,ch3_1,ch4_1,ch5_1,ch6_1,ch7_1,ch8_1,ch9_1,ch10_1,ch11_1,ch12_1,hKey_1,ch1_2,ch2_2,ch3_2,ch4_2,ch5_2,ch6_2,ch7_2,ch8_2,ch9_2,ch10_2,ch11_2,ch12_2,hKey_2,counter,temp,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
2071.456909,2071.456909,2032.394409,1973.800659,1543.35022,1250.38147,1543.35022,2344.894409,840.2252197,3808.97522,2911.300659,4512.10022,0,2051.925659,2071.456909,1993.331909,1973.800659,1601.94397,1191.78772,1289.44397,2403.488159,723.0377197,3769.91272,2930.831909,4492.56897,0,3298762784,627.4414063,15876,6151,3a3a,0,,64
2071.456909,2051.925659,1993.331909,1973.800659,1641.00647,1230.85022,1543.35022,2344.894409,879.2877197,3672.25647,2891.769409,4492.56897,0,2149.581909,2090.988159,1993.331909,2012.863159,1621.47522,1152.72522,1465.22522,2423.019409,683.9752197,3711.31897,2891.769409,4453.50647,0,3332317216,627.4414063,24068,6151,3a3a,0,,64
2130.050659,2051.925659,1954.269409,1993.331909,1601.94397,1230.85022,1328.50647,2403.488159,762.1002197,3672.25647,2911.300659,4473.03772,0,2110.519409,2071.456909,1973.800659,1954.269409,1543.35022,1348.03772,1543.35022,2383.956909,781.6314697,3672.25647,2872.238159,4531.63147,0,3365871648,627.4414063,32260,6151,3a3a,0,,64
2071.456909,2071.456909,1954.269409,1973.800659,1328.50647,1211.31897,1465.22522,2364.425659,723.0377197,3730.85022,2891.769409,4551.16272,0,2110.519409,2110.519409,1973.800659,1993.331909,1797.25647,1250.38147,1348.03772,2383.956909,937.8814697,3633.19397,2911.300659,4473.03772,0,3399426080,627.4414063,40452,6151,3a3a,0,,64
2071.456909,2090.988159,2012.863159,1973.800659,1699.60022,1250.38147,1641.00647,2344.894409,859.7564697,3672.25647,2911.300659,4473.03772,0,2071.456909,2071.456909,2012.863159,1973.800659,1797.25647,1367.56897,1523.81897,2383.956909,937.8814697,3672.25647,2872.238159,4453.50647,0,3432980512,627.4414063,48644,6151,3a3a,0,,64
2110.519409,2012.863159,1954.269409,2012.863159,1641.00647,1250.38147,1406.63147,2423.019409,742.5689697,3711.31897,2911.300659,4473.03772,0,2051.925659,2032.394409,1993.331909,1993.331909,1777.72522,1308.97522,1348.03772,2403.488159,957.4127197,3711.31897,2891.769409,4473.03772,0,3466534944,627.4414063,56836,14343,3a3a,0,,64
2110.519409,2090.988159,1954.269409,1993.331909,1680.06897,1289.44397,1230.85022,2364.425659,586.3189697,3613.66272,2930.831909,4492.56897,0,2051.925659,2071.456909,2032.394409,1993.331909,1699.60022,1230.85022,1445.69397,2344.894409,918.3502197,3652.72522,2852.706909,4512.10022,0,3500089376,627.4414063,65028,14343,3a3a,0,,64
2130.050659,2051.925659,1973.800659,1954.269409,1601.94397,1113.66272,1387.10022,2442.550659,703.5064697,3613.66272,2891.769409,4394.91272,0,2110.519409,2032.394409,1993.331909,1954.269409,1426.16272,1191.78772,1328.50647,2423.019409,605.8502197,3750.38147,2911.300659,4492.56897,0,3533643808,627.4414063,7685,14343,3a3a,0,,64
2090.988159,2051.925659,2012.863159,1993.331909,1465.22522,1211.31897,1269.91272,2403.488159,488.6627197,3769.91272,2950.363159,4492.56897,0,2090.988159,2032.394409,1993.331909,1973.800659,1601.94397,1172.25647,1289.44397,2364.425659,566.7877197,3711.31897,2911.300659,4473.03772,0,3567198240,627.4414063,15877,14343,3a3a,0,,64
2090.988159,2071.456909,1973.800659,1973.800659,1680.06897,1191.78772,1406.63147,2364.425659,664.4439697,3633.19397,2930.831909,4512.10022,0,2071.456909,2071.456909,1934.738159,1973.800659,1504.28772,976.9439697,1445.69397,2423.019409,547.2564697,3633.19397,2872.238159,4492.56897,0,3600752672,627.4414063,24069,14343,3a3a,0,,64
